data_id,data_name,products,link
paquito,Paquito,515,https://world.openfoodfacts.org/brand/paquito
winn-dixie,Winn-dixie,511,https://world.openfoodfacts.org/brand/winn-dixie
delisse,Delisse,510,https://world.openfoodfacts.org/brand/delisse
sainte-lucie,Sainte-lucie,508,https://world.openfoodfacts.org/brand/sainte-lucie
qualite-prix,Qualite-prix,505,https://world.openfoodfacts.org/brand/qualite-prix
compliments,Compliments,502,https://world.openfoodfacts.org/brand/compliments
clover-valley,Clover-valley,500,https://world.openfoodfacts.org/brand/clover-valley
twinings,Twinings,498,https://world.openfoodfacts.org/brand/twinings
cote-d-or,Cote-d-or,494,https://world.openfoodfacts.org/brand/cote-d-or
itineraire-des-saveurs,Itineraire-des-saveurs,494,https://world.openfoodfacts.org/brand/itineraire-des-saveurs
rossmann,Rossmann,492,https://world.openfoodfacts.org/brand/rossmann
ethiquable,Ethiquable,492,https://world.openfoodfacts.org/brand/ethiquable
supervalu-inc,Supervalu-inc,492,https://world.openfoodfacts.org/brand/supervalu-inc
alimerka,Alimerka,489,https://world.openfoodfacts.org/brand/alimerka
publix,Publix,487,https://world.openfoodfacts.org/brand/publix
alpro,Alpro,486,https://world.openfoodfacts.org/brand/alpro
bouton-d-or,Bouton-d-or,486,https://world.openfoodfacts.org/brand/bouton-d-or
rana,Rana,479,https://world.openfoodfacts.org/brand/rana
brookshire-s,Brookshire-s,473,https://world.openfoodfacts.org/brand/brookshire-s
oreo,Oreo,473,https://world.openfoodfacts.org/brand/oreo
ocean-spray,Ocean-spray,471,https://world.openfoodfacts.org/brand/ocean-spray
milfina,Milfina,466,https://world.openfoodfacts.org/brand/milfina
de-cecco,De-cecco,465,https://world.openfoodfacts.org/brand/de-cecco
alesto,Alesto,465,https://world.openfoodfacts.org/brand/alesto
sodebo,Sodebo,465,https://world.openfoodfacts.org/brand/sodebo
ica,Ica,464,https://world.openfoodfacts.org/brand/ica
florette,Florette,462,https://world.openfoodfacts.org/brand/florette
emmi,Emmi,461,https://world.openfoodfacts.org/brand/emmi
mars,Mars,461,https://world.openfoodfacts.org/brand/mars
key-food,Key-food,458,https://world.openfoodfacts.org/brand/key-food
amora,Amora,458,https://world.openfoodfacts.org/brand/amora
old-el-paso,Old-el-paso,456,https://world.openfoodfacts.org/brand/old-el-paso
kania,Kania,455,https://world.openfoodfacts.org/brand/kania
bigard,Bigard,454,https://world.openfoodfacts.org/brand/bigard
mccain,Mccain,454,https://world.openfoodfacts.org/brand/mccain
fuchs,Fuchs,453,https://world.openfoodfacts.org/brand/fuchs
d-aucy,D-aucy,453,https://world.openfoodfacts.org/brand/d-aucy
dulano,Dulano,448,https://world.openfoodfacts.org/brand/dulano
seazon,Seazon,447,https://world.openfoodfacts.org/brand/seazon
bimbo,Bimbo,447,https://world.openfoodfacts.org/brand/bimbo
nice,Nice,447,https://world.openfoodfacts.org/brand/nice
walkers,Walkers,446,https://world.openfoodfacts.org/brand/walkers
saupiquet,Saupiquet,445,https://world.openfoodfacts.org/brand/saupiquet
probios,Probios,444,https://world.openfoodfacts.org/brand/probios
ferrara-candy-company,Ferrara-candy-company,442,https://world.openfoodfacts.org/brand/ferrara-candy-company
iceland,Iceland,442,https://world.openfoodfacts.org/brand/iceland
teisseire,Teisseire,439,https://world.openfoodfacts.org/brand/teisseire
markal,Markal,439,https://world.openfoodfacts.org/brand/markal
condis,Condis,439,https://world.openfoodfacts.org/brand/condis
raley-s,Raley-s,435,https://world.openfoodfacts.org/brand/raley-s
